llm,condicion,wer_pct,chrf
"Gemma3:1B FP16","Referencia -> LLM",0.0,79.44
"Gemma3:1B Q8_0","Referencia -> LLM",0.0,78.57
"Gemma3:1B Q4_K_M","Referencia -> LLM",0.0,78.89
"Gemma3:1B FP16","Base -> LLM",10.000000,84.33
"Gemma3:1B FP16","Tiny -> LLM",22.100000,75.13
"Gemma3:1B FP16","Base-Q8_0 -> LLM",9.600000,83.4
"Gemma3:1B FP16","Base-Q5_1 -> LLM",11.500000,83.95
"Gemma3:1B FP16","Base-Q4_0 -> LLM",13.900000,81.05
"Gemma3:1B Q8_0","Base -> LLM",10.000000,83.86
"Gemma3:1B Q8_0","Tiny -> LLM",22.100000,75.59
"Gemma3:1B Q8_0","Base-Q8_0 -> LLM",9.600000,82.95
"Gemma3:1B Q8_0","Base-Q5_1 -> LLM",11.500000,84.21
"Gemma3:1B Q8_0","Base-Q4_0 -> LLM",13.900000,81.01
"Gemma3:1B Q4_K_M","Base -> LLM",10.000000,84.68
"Gemma3:1B Q4_K_M","Tiny -> LLM",22.100000,74.15
"Gemma3:1B Q4_K_M","Base-Q8_0 -> LLM",9.600000,83.34
"Gemma3:1B Q4_K_M","Base-Q5_1 -> LLM",11.500000,84.87
"Gemma3:1B Q4_K_M","Base-Q4_0 -> LLM",13.900000,80.39
